Model,Model_ID,Overall,临江仙,减字木兰花,南乡子,卜算子,如梦令,忆江南,念奴娇,摸鱼儿,望江南,水调歌头,水龙吟,江城子,沁园春,浣溪沙,浪淘沙,清平乐,渔家傲,满庭芳,满江红,点绛唇,菩萨蛮,虞美人,蝶恋花,西江月,贺新郎,踏莎行,采桑子,金缕曲,鹊桥仙,鹧鸪天
GPT-4o,gpt-4o,55.33%,0.00%,90.00%,0.00%,100.00%,50.00%,80.00%,20.00%,0.00%,70.00%,30.00%,10.00%,100.00%,50.00%,100.00%,0.00%,100.00%,90.00%,0.00%,30.00%,90.00%,80.00%,40.00%,100.00%,80.00%,0.00%,100.00%,100.00%,0.00%,60.00%,90.00%
GLM-4-Plus,glm-4-plus,42.00%,30.00%,70.00%,0.00%,70.00%,50.00%,40.00%,0.00%,20.00%,40.00%,50.00%,10.00%,60.00%,30.00%,40.00%,0.00%,80.00%,70.00%,30.00%,30.00%,60.00%,80.00%,10.00%,40.00%,70.00%,0.00%,70.00%,60.00%,0.00%,60.00%,90.00%
Qwen-max,qwen-max-format,39.00%,0.00%,70.00%,0.00%,70.00%,20.00%,40.00%,0.00%,40.00%,50.00%,20.00%,40.00%,80.00%,0.00%,80.00%,0.00%,50.00%,70.00%,20.00%,10.00%,50.00%,50.00%,30.00%,80.00%,70.00%,0.00%,70.00%,70.00%,0.00%,30.00%,60.00%
DeepSeek-R1,deepseek_r1_volcano,56.67%,0.00%,90.00%,0.00%,90.00%,60.00%,80.00%,70.00%,30.00%,80.00%,20.00%,40.00%,80.00%,10.00%,80.00%,10.00%,80.00%,80.00%,60.00%,60.00%,50.00%,70.00%,30.00%,80.00%,80.00%,20.00%,80.00%,80.00%,40.00%,60.00%,90.00%
InternLM-25-7b,internlm25_7b_chat,18.67%,0.00%,20.00%,0.00%,20.00%,10.00%,20.00%,0.00%,0.00%,20.00%,0.00%,20.00%,10.00%,0.00%,50.00%,10.00%,40.00%,30.00%,0.00%,10.00%,10.00%,70.00%,30.00%,40.00%,30.00%,0.00%,30.00%,60.00%,0.00%,10.00%,20.00%
InternLM-25-20b,internlm25_20b_chat,5.33%,0.00%,30.00%,0.00%,0.00%,0.00%,10.00%,10.00%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%,30.00%,0.00%,10.00%,20.00%,0.00%,0.00%,10.00%,10.00%,0.00%,0.00%,0.00%,0.00%,10.00%,0.00%,0.00%,0.00%,10.00%
GLM-4-9b,glm4_9b_chat,6.33%,10.00%,30.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,80.00%,20.00%,10.00%,0.00%,0.00%,0.00%,0.00%,10.00%,0.00%,20.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Llama-3.1-8b,llama31_8b_chat,0.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Llama-3.1-8b-chinese,llama31_8b_chinese_chat,0.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Qwen-0.5b,qwen2_0.5b,1.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,30.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
